isodate,precip,tmax,tmin,wind
1986-01-01,0.10954838331913544,6.900245599317008,-6.68907708810832,0.8026599424742448
1986-01-02,0.03502562171574218,9.163251394656289,-4.446106044192908,1.2767873071785174
1986-01-03,0.0019403867972669442,9.040750314094268,-4.941508659760968,0.7835431406266791
1986-01-04,0.5081659331916811,9.646989868217537,-4.389903950996598,0.7409197953356284
1986-01-05,0.17520296500808874,6.911336150739608,-4.6430936108868135,1.1395713956235138
1986-01-06,0.1051111037332626,6.529528217684558,-7.449335236911527,0.6962347844182458
1986-01-07,0.010798220781611387,7.117327266829626,-7.736318724586486,0.5280578628752274
1986-01-08,0.00945273787466943,7.417943106214548,-7.416057159247432,0.6249911551139525
1986-01-09,0.0,6.91579344948349,-6.792777620403372,0.5342917080462583
1986-01-10,0.010610574131831498,6.230152825561772,-7.2638971887134005,0.6448669292352432
1986-01-11,0.00043269258155900943,7.613824758881904,-7.5222884720989045,0.6209689784453004
1986-01-12,0.00573881733794544,8.372136864306789,-6.623949246058457,0.7467702591487685
1986-01-13,0.07327944339020251,8.528414313124763,-6.065185691058187,1.102056440489939
1986-01-14,0.004569174907362828,9.382720846019133,-7.7497622413371134,0.8828790702397541
1986-01-15,0.04656633534608714,10.292839919933776,-6.191923457161111,0.8091834833172474
1986-01-16,0.9419987953392812,9.528441241169736,-2.397246698627322,1.3837684574727889
1986-01-17,0.010742724325688336,9.848961539106764,-5.145087409138839,1.2445946471987812
1986-01-18,0.0,9.790556705635142,-5.488598590413544,1.0417430742093992
1986-01-19,0.0,10.803604935178734,-6.620186179485471,0.9553115420684538
1986-01-20,0.00390548024337783,10.850292939251295,-5.745260256670657,0.7909976520476468
1986-01-21,0.0,11.241046205931433,-4.580975996573534,1.2526886349603183
1986-01-22,0.02942885310259766,11.528268336466367,-4.760644197175044,1.232856072277918
1986-01-23,0.0053759733560928905,11.901936647621168,-4.63900186989293,1.570521078932357
1986-01-24,0.00019961359223597544,11.688408296166436,-5.250582937061844,1.4202604376137924
1986-01-25,0.04600245053016935,11.068142791886027,-5.203677859011216,0.9797623412448278
1986-01-26,0.4299323167451769,11.686763152450139,-3.265723992996448,1.1427408448218643
1986-01-27,0.7536781846142268,11.561087188195751,-4.249899498956771,1.4863282794904509
1986-01-28,0.04015476243597765,11.442172403499606,-4.884215177778039,1.3787649835467095
1986-01-29,0.06778990915638193,12.355589925658903,-3.0663167794507458,1.6258589086122444
1986-01-30,0.06860308783840519,12.132445396419367,-0.8969835048879573,1.7000344922824409
1986-01-31,0.56697902189213,11.295292615602719,-1.7842699849592658,1.498252297930898
1986-02-01,0.5093457265901428,10.127351492359898,-4.160905437972292,1.4328360532918525
1986-02-02,0.3847706190371161,9.730993180203551,-4.462317741632583,1.401754420520792
1986-02-03,0.021994866716660653,9.848096457553032,-4.709636518076816,1.4817891856478922
1986-02-04,0.17976594693031567,10.762395486407096,-4.375177975200724,1.7385285677682134
1986-02-05,0.04266035110334192,11.48946587375257,-4.268683033496294,1.4767594141173015
1986-02-06,0.28566765323005,12.012203765901448,-3.8821164056249056,1.6817792761482633
1986-02-07,0.17741670231273468,11.515270672261494,-4.068346465645976,1.1692008127139752
1986-02-08,0.1820947638480905,11.463836167763196,-2.728743343523199,1.710864609457373
1986-02-09,0.0,11.234756808163702,-5.535420335354377,1.0657232736606963
1986-02-10,0.4180671080367081,10.889579278494459,-5.5029445985739995,0.8041837266232326
1986-02-11,1.0915759369595377,12.730362184812755,-3.615296122607176,1.4416744855343515
1986-02-12,0.01428372684122696,12.56194745763455,-2.799404495938609,1.598274230384636
1986-02-13,0.0008594874069876149,12.703292615295114,-3.0664570367810087,1.5379428504364534
1986-02-14,0.01933031102689451,12.837265196025331,-3.1009974252518835,1.525240806890709
1986-02-15,0.8627837794351416,12.831468224292436,-1.4155145454462488,1.6349542295376638
1986-02-16,1.3683831166465412,11.545581478830252,-3.903465230396773,1.586697742621695
1986-02-17,0.015272360739658562,11.286687667938207,-4.994059048896963,1.3816825795211591
1986-02-18,0.002542973856777073,11.088944872070108,-6.912794745197278,1.5381827054740917
1986-02-19,0.22434573502721253,11.008447184720394,-7.504184908429872,1.3110501685081686
1986-02-20,0.3752201167803466,12.761238864736711,-5.3677292986948775,0.7864815670791365
1986-02-21,1.112177232360383,13.318861762275212,-4.517551868381676,1.4676616809396217
1986-02-22,0.011921981170888815,14.564944285250688,-1.2232129596587484,1.98377748247606
1986-02-23,0.08162575358068176,14.731704931016436,-1.6119788636673935,1.6935348850762155
1986-02-24,0.034357532662557436,14.698723598003989,-1.7194602150924119,1.6655655910239977
1986-02-25,0.3265262662346816,13.834567912872606,-1.4765471291209704,1.5059010982838923
1986-02-26,0.09784089019152288,13.937180578892514,-0.5344354158525246,1.7769164362483438
1986-02-27,0.03737304146747186,14.071437401569176,-0.9328375203910672,1.6815610971916584
1986-02-28,1.0177967955413276,12.959581805982914,-0.7639524118453216,1.5333442147754008
1986-03-01,3.717773372855819,9.252476567749694,-3.676805987766925,0.7453177369337277
1986-03-02,2.2551917654981257,1.9299846923364312,-5.3297973830858965,0.29372441047416376
1986-03-03,1.437286655628402,1.7460422503583868,-7.951755529064869,0.4873834840927576
1986-03-04,0.023025851224762632,4.522860917596788,-8.67258245870229,0.4892588731605949
1986-03-05,0.16797624853247767,9.765532022964981,-6.990680492681202,0.534316826769358
1986-03-06,0.3525365985973332,10.929710618421392,-3.7951026214381742,1.0894918783255492
1986-03-07,0.9756737886691776,10.666433738842523,-2.757265797187733,1.139761567923368
